trial,onset,duration,gain,loss,RT,participant_response,ID,run,risk,use,accept,group,gender,age
5,33.429,4,10,5,1.456,weakly_accept,1,3,5.5901699437494745,True,1,equalIndifference,M,24.0
6,42.73,4,16,12,1.25,weakly_accept,1,3,10.0,True,1,equalIndifference,M,24.0
7,48.53,4,26,8,1.8719999999999999,strongly_accept,1,3,13.601470508735444,True,1,equalIndifference,M,24.0
8,53.731,4,40,6,1.04,strongly_accept,1,3,20.223748416156685,True,1,equalIndifference,M,24.0
9,61.931999999999995,4,10,14,1.4569999999999999,weakly_reject,1,3,8.602325267042627,True,0,equalIndifference,M,24.0
10,67.433,4,26,10,2.496,strongly_accept,1,3,13.92838827718412,True,1,equalIndifference,M,24.0
11,75.835,4,20,12,1.249,weakly_accept,1,3,11.661903789690601,True,1,equalIndifference,M,24.0
12,83.236,4,18,9,1.663,weakly_accept,1,3,10.062305898749054,True,1,equalIndifference,M,24.0
13,91.03,4,12,16,1.768,weakly_reject,1,3,10.0,True,0,equalIndifference,M,24.0
14,97.93,4,34,17,1.663,weakly_accept,1,3,19.00657780874821,True,1,equalIndifference,M,24.0
15,103.33,4,36,6,1.249,strongly_accept,1,3,18.24828759089466,True,1,equalIndifference,M,24.0
16,108.83,4,30,5,1.143,strongly_accept,1,3,15.20690632574555,True,1,equalIndifference,M,24.0
17,114.431,4,14,20,1.662,strongly_reject,1,3,12.206555615733702,True,0,equalIndifference,M,24.0
18,123.531,4,10,8,1.351,weakly_accept,1,3,6.4031242374328485,True,1,equalIndifference,M,24.0
19,129.731,4,24,19,1.766,weakly_accept,1,3,15.305227865013967,True,1,equalIndifference,M,24.0
20,138.631,4,22,15,1.245,weakly_accept,1,3,13.313526955694348,True,1,equalIndifference,M,24.0
21,145.631,4,12,12,1.768,weakly_accept,1,3,8.48528137423857,True,1,equalIndifference,M,24.0
22,150.632,4,20,19,2.185,weakly_accept,1,3,13.793114224133722,True,1,equalIndifference,M,24.0
23,156.43200000000002,4,32,16,1.665,weakly_accept,1,3,17.88854381999832,True,1,equalIndifference,M,24.0
24,164.334,4,28,12,1.454,strongly_accept,1,3,15.231546211727817,True,1,equalIndifference,M,24.0
25,170.435,4,28,11,1.4569999999999999,strongly_accept,1,3,15.041608956491324,True,1,equalIndifference,M,24.0
26,176.136,4,40,13,1.248,strongly_accept,1,3,21.02974084481309,True,1,equalIndifference,M,24.0
27,182.732,4,14,5,1.8730000000000002,weakly_accept,1,3,7.433034373659253,True,1,equalIndifference,M,24.0
28,187.938,4,24,7,1.3530000000000002,strongly_accept,1,3,12.5,True,1,equalIndifference,M,24.0
29,196.93900000000002,4,32,19,1.456,weakly_accept,1,3,18.607794065928395,True,1,equalIndifference,M,24.0
30,204.532,4,22,12,1.3519999999999999,weakly_accept,1,3,12.529964086141668,True,1,equalIndifference,M,24.0
31,214.43200000000002,4,32,6,0.937,strongly_accept,1,3,16.278820596099706,True,1,equalIndifference,M,24.0
32,220.532,4,22,5,1.04,strongly_accept,1,3,11.280514172678478,True,1,equalIndifference,M,24.0
33,226.13299999999998,4,32,9,1.1420000000000001,strongly_accept,1,3,16.62077013859466,True,1,equalIndifference,M,24.0
34,231.132,4,28,19,1.1440000000000001,weakly_accept,1,3,16.91892431568863,True,1,equalIndifference,M,24.0
35,236.333,4,26,7,1.5590000000000002,strongly_accept,1,3,13.46291201783626,True,1,equalIndifference,M,24.0
36,242.533,4,32,17,1.456,weakly_accept,1,3,18.117670931993437,True,1,equalIndifference,M,24.0
37,252.233,4,16,14,1.77,weakly_accept,1,3,10.63014581273465,True,1,equalIndifference,M,24.0
38,258.83299999999997,4,12,5,1.56,weakly_accept,1,3,6.5,True,1,equalIndifference,M,24.0
39,267.935,4,38,10,1.245,strongly_accept,1,3,19.6468827043885,True,1,equalIndifference,M,24.0
40,273.337,4,36,13,1.456,strongly_accept,1,3,19.13765920900464,True,1,equalIndifference,M,24.0
41,282.133,4,16,19,2.08,strongly_reject,1,3,12.419742348374221,True,0,equalIndifference,M,24.0
42,287.834,4,22,17,1.456,weakly_accept,1,3,13.901438774457844,True,1,equalIndifference,M,24.0
43,294.733,4,10,9,1.663,weakly_accept,1,3,6.726812023536855,True,1,equalIndifference,M,24.0
44,301.434,4,40,9,1.248,strongly_accept,1,3,20.5,True,1,equalIndifference,M,24.0
45,308.834,4,28,14,1.5590000000000002,weakly_accept,1,3,15.652475842498529,True,1,equalIndifference,M,24.0
46,316.934,4,22,6,1.5590000000000002,strongly_accept,1,3,11.40175425099138,True,1,equalIndifference,M,24.0
47,322.834,4,14,17,1.561,weakly_reject,1,3,11.01135777277262,True,0,equalIndifference,M,24.0
48,330.434,4,18,18,1.659,weakly_accept,1,3,12.727922061357855,True,1,equalIndifference,M,24.0
49,336.134,4,18,16,1.766,weakly_accept,1,3,12.041594578792296,True,1,equalIndifference,M,24.0
50,341.23400000000004,4,24,12,1.7690000000000001,weakly_accept,1,3,13.416407864998739,True,1,equalIndifference,M,24.0
51,346.73400000000004,4,14,11,1.455,weakly_accept,1,3,8.902246907382429,True,1,equalIndifference,M,24.0
52,354.534,4,36,5,0.9329999999999999,strongly_accept,1,3,18.172781845386247,True,1,equalIndifference,M,24.0
53,360.635,4,30,13,1.456,strongly_accept,1,3,16.347782724271816,True,1,equalIndifference,M,24.0
54,366.13599999999997,4,36,17,1.6640000000000001,weakly_accept,1,3,19.90602923739438,True,1,equalIndifference,M,24.0
55,371.23699999999997,4,40,14,1.145,strongly_accept,1,3,21.18962010041709,True,1,equalIndifference,M,24.0
56,378.835,4,10,13,1.456,weakly_reject,1,3,8.200609733428363,True,0,equalIndifference,M,24.0
57,387.735,4,40,19,1.9769999999999999,weakly_accept,1,3,22.14158982548453,True,1,equalIndifference,M,24.0
